relId;release;subsystem;developers;authors;ratio
1;v2.6.12;core;543;147;0.27071825
1;v2.6.12;driver;1067;295;0.27647611
1;v2.6.12;arch;502;184;0.36653388
1;v2.6.12;net;319;51;0.1598746
1;v2.6.12;fs;293;50;0.17064847
1;v2.6.12;misc;87;21;0.2413793
1;v2.6.12;all;1576;417;0.2645939
2;2.6.13;core;604;165;0.27317882
2;v2.6.13;driver;1211;337;0.2782824
2;v2.6.13;arch;550;205;0.37272727
2;v2.6.13;net;340;55;0.16176471
2;v2.6.13;fs;320;54;0.16875
2;v2.6.13;misc;93;21;0.22580644
2;v2.6.13;all;1752;477;0.27226028
3;2.6.14;core;653;171;0.2618683
3;v2.6.14;driver;1297;365;0.28141865
3;v2.6.14;arch;595;212;0.35630253
3;v2.6.14;net;368;57;0.1548913
3;v2.6.14;fs;344;57;0.16569768
3;v2.6.14;misc;109;24;0.22018349
3;v2.6.14;all;1902;514;0.27024186
4;2.6.15;core;702;188;0.26780626
4;v2.6.15;driver;1433;378;0.26378226
4;v2.6.15;arch;644;225;0.34937888
4;v2.6.15;net;394;60;0.15228426
4;v2.6.15;fs;362;64;0.17679559
4;v2.6.15;misc;116;24;0.20689656
4;v2.6.15;all;2080;539;0.25913462
5;2.6.16;core;750;199;0.26533332
5;v2.6.16;driver;1562;400;0.25608194
5;v2.6.16;arch;711;247;0.34739804
5;v2.6.16;net;424;61;0.14386792
5;v2.6.16;fs;393;73;0.18575063
5;v2.6.16;misc;127;23;0.18110237
5;v2.6.16;all;2266;576;0.2541924
6;2.6.17;core;805;211;0.2621118
6;v2.6.17;driver;1690;428;0.25325444
6;v2.6.17;arch;766;260;0.3394256
6;v2.6.17;net;454;66;0.14537445
6;v2.6.17;fs;419;73;0.17422435
6;v2.6.17;misc;133;26;0.19548872
6;v2.6.17;all;2440;620;0.25409836
7;2.6.18;core;865;226;0.2612717
7;v2.6.18;driver;1857;470;0.2530964
7;v2.6.18;arch;837;268;0.32019114
7;v2.6.18;net;491;75;0.1527495
7;v2.6.18;fs;457;75;0.16411379
7;v2.6.18;misc;142;30;0.2112676
7;v2.6.18;all;2668;672;0.25187406
8;2.6.19;core;943;244;0.25874868
8;v2.6.19;driver;2020;517;0.2559406
8;v2.6.19;arch;890;302;0.33932585
8;v2.6.19;net;524;81;0.15458015
8;v2.6.19;fs;493;82;0.1663286
8;v2.6.19;misc;154;30;0.19480519
8;v2.6.19;all;2885;745;0.25823224
9;2.6.20;core;997;255;0.25576732
9;v2.6.20;driver;2143;534;0.24918339
9;v2.6.20;arch;934;321;0.3436831
9;v2.6.20;net;546;80;0.14652015
9;v2.6.20;fs;530;83;0.15660377
9;v2.6.20;misc;162;30;0.18518518
9;v2.6.20;all;3038;785;0.25839368
10;2.6.21;core;1042;267;0.256238
10;v2.6.21;driver;2299;571;0.24836886
10;v2.6.21;arch;985;343;0.34822336
10;v2.6.21;net;568;85;0.14964789
10;v2.6.21;fs;547;86;0.15722121
10;v2.6.21;misc;169;28;0.16568047
10;v2.6.21;all;3221;831;0.2579944
11;2.6.22;core;1084;272;0.2509225
11;v2.6.22;driver;2459;608;0.24725498
11;v2.6.22;arch;1049;382;0.36415634
11;v2.6.22;net;586;88;0.15017065
11;v2.6.22;fs;582;88;0.15120275
11;v2.6.22;misc;180;30;0.16666667
11;v2.6.22;all;3423;890;0.26000583
12;2.6.23;core;1145;285;0.2489083
12;v2.6.23;driver;2617;649;0.24799389
12;v2.6.23;arch;1111;402;0.3618362
12;v2.6.23;net;628;93;0.14808917
12;v2.6.23;fs;622;92;0.14790997
12;v2.6.23;misc;185;30;0.16216215
12;v2.6.23;all;3617;931;0.25739563
13;2.6.24;core;1224;309;0.25245097
13;v2.6.24;driver;2782;680;0.24442847
13;v2.6.24;arch;1181;418;0.35393733
13;v2.6.24;net;675;96;0.14222223
13;v2.6.24;fs;653;97;0.14854518
13;v2.6.24;misc;203;28;0.13793103
13;v2.6.24;all;3822;964;0.25222397
14;2.6.25;core;1316;329;0.25
14;v2.6.25;driver;2996;742;0.24766356
14;v2.6.25;arch;1288;458;0.35559008
14;v2.6.25;net;717;102;0.14225942
14;v2.6.25;fs;693;101;0.14574315
14;v2.6.25;misc;212;29;0.13679245
14;v2.6.25;all;4113;1051;0.25553125
15;2.6.26;core;1384;342;0.24710983
15;v2.6.26;driver;3169;784;0.24739665
15;v2.6.26;arch;1353;474;0.3503326
15;v2.6.26;net;756;103;0.13624339
15;v2.6.26;fs;720;103;0.14305556
15;v2.6.26;misc;221;29;0.13122173
15;v2.6.26;all;4326;1107;0.2558946
16;2.6.27;core;1464;368;0.2513661
16;v2.6.27;driver;3302;818;0.24772865
16;v2.6.27;arch;1388;492;0.35446686
16;v2.6.27;net;788;107;0.1357868
16;v2.6.27;fs;752;108;0.14361702
16;v2.6.27;misc;229;28;0.12227074
16;v2.6.27;all;4499;1169;0.2598355
17;2.6.28;core;1524;394;0.25853017
17;v2.6.28;driver;3498;884;0.25271583
17;v2.6.28;arch;1471;520;0.35350102
17;v2.6.28;net;817;116;0.14198287
17;v2.6.28;fs;769;109;0.14174253
17;v2.6.28;misc;244;32;0.13114753
17;v2.6.28;all;4738;1264;0.26677924
18;2.6.29;core;1596;404;0.25313282
18;v2.6.29;driver;3720;962;0.25860214
18;v2.6.29;arch;1550;550;0.3548387
18;v2.6.29;net;854;122;0.14285715
18;v2.6.29;fs;811;120;0.14796548
18;v2.6.29;misc;262;34;0.129771
18;v2.6.29;all;4994;1360;0.2723268
19;2.6.30;core;1661;432;0.2600843
19;v2.6.30;driver;3895;1039;0.26675224
19;v2.6.30;arch;1599;559;0.3495935
19;v2.6.30;net;886;128;0.14446953
19;v2.6.30;fs;848;125;0.14740565
19;v2.6.30;misc;276;39;0.14130434
19;v2.6.30;all;5232;1455;0.27809632
20;2.6.31;core;1735;455;0.26224783
20;v2.6.31;driver;4113;1085;0.2637977
20;v2.6.31;arch;1676;594;0.35441527
20;v2.6.31;net;916;139;0.15174672
20;v2.6.31;fs;897;129;0.14381272
20;v2.6.31;misc;284;45;0.15845071
20;v2.6.31;all;5495;1525;0.27752504
