repository;nAuthors;degreeAll;clustering;assortativity;authorsFile
activeadmin/activeadmin;64;1;0.140625;-0.429752066115702;1.3114406779661 
ajaxorg/ace;121;1.9504132231405;0.0210843373493976;-0.705621395802092;1.30688935281837 
alexreisner/geocoder;58;1.20689655172414;0;-0.894615379677359;1.26666666666667 
android/platform_frameworks_base;695;3.66906474820144;0.16;-0.0584182184376143;1.29559118236473 
ansible/ansible;562;1.35231316725979;0.0371488976140139;-0.335031193394655;1.23322360091162 
apache/cassandra;107;3.66355140186916;0.329516539440204;-0.224408176318887;1.28947368421053 
atom/atom-shell;53;2.22641509433962;0.173803526448363;-0.374208226364896;1.25133120340788 
bbatsov/rubocop;124;1.58064516129032;0.224744608399546;-0.552008778498077;1.23327615780446 
bitcoin/bitcoin;80;2.825;0.307109004739336;-0.423155887552878;1.32576617480136 
bjorn/tiled;43;1.81395348837209;0.00425531914893617;-0.954815819680684;1.21270310192024 
boto/boto;104;0.769230769230769;0.114942528735632;-0.51903609817162;1.23469387755102 
bumptech/glide;21;1.61904761904762;0;-0.900475713570355;1.07880910683012 
bundler/bundler;82;1.58536585365854;0.0574374079528719;-0.679946904772011;1.59459459459459 
bup/bup;11;1.81818181818182;0.181818181818182;-0.808622502628812;1.26027397260274 
BVLC/caffe;64;1.65625;0.239074550128535;-0.541990508288053;1.33481152993348 
caskroom/homebrew-cask;1843;1.20998372219208;0.00960063672616629;-0.527048630807454;1.60054213898472 
celery/celery;21;1.14285714285714;0.0612244897959184;-0.807314195831694;1.1980198019802 
celluloid/celluloid;12;2;0.136363636363636;-0.786363636363636;1.48666666666667 
chef/chef;147;2.69387755102041;0.143265656276809;-0.45338266441453;1.52035959809625 
clojure/clojure;29;0.96551724137931;0.157894736842105;-0.490401396160559;1.10774410774411 
cocos2d/cocos2d-x;99;3.25252525252525;0.230108757870635;-0.331843312849779;1.30359212050985 
codemirror/CodeMirror;146;1.78082191780822;0.00114097363083164;-0.944511766286466;1.45672191528545 
composer/composer;94;1.59574468085106;0.0140041493775934;-0.732562644893363;1.34615384615385 
cucumber/cucumber;13;1.69230769230769;0.0769230769230769;-0.741666666666667;1.06060606060606 
diaspora/diaspora;97;2.41237113402062;0.205128205128205;-0.568797399783315;1.41590429275158 
divio/django-cms;49;2.40816326530612;0.339366515837104;-0.51313556233535;1.37215909090909 
django/django;229;1.89519650655022;0.149539877300613;-0.431491662253416;1.37172995780591 
driftyco/ionic;11;4.72727272727273;0.566929133858268;-0.465084928552172;1.37076648841355 
dropwizard/dropwizard;91;1.38461538461538;0.128309572301426;-0.637874236765526;1.28260869565217 
dropwizard/metrics;45;0.666666666666667;0;-0.779048765803733;1.44268774703557 
drupal/drupal;22;5.27272727272727;0.540254237288136;-0.531904676151028;1.48187326692 
elasticsearch/elasticsearch;137;7.05109489051095;0.389378834355828;-0.302713923042112;1.33953146338901 
elasticsearch/logstash;30;4.13333333333333;0.419864559819413;-0.315033060122541;1.27969762419006 
emberjs/ember.js;90;2.82222222222222;0.114973262032086;-0.461862644435358;1.5718954248366 
erikhuda/thor;12;0.833333333333333;0;-0.666666666666667;1.35714285714286 
Eugeny/ajenti;12;1.33333333333333;0;-1;1.03092783505155 
excilys/androidannotations;28;1.85714285714286;0.205128205128205;-0.593261131167268;1.4472190692395 
facebook/osquery;68;1.88235294117647;0.0492379835873388;-0.569407596774871;1.47465437788018 
facebook/presto;129;4.44961240310078;0.325632344154551;-0.426571419424335;1.30518840007891 
fog/fog;75;1.52;0.0448979591836735;-0.561115773148788;1.24935732647815 
FriendsOfPHP/PHP-CS-Fixer;48;3.70833333333333;0.250430292598967;-0.594014988202098;1.6557161629435 
fzaninotto/Faker;192;0.4375;0.0474934036939314;-0.520414424134111;1.30472854640981 
getsentry/sentry;53;4.41509433962264;0.302059496567506;-0.443666125403217;1.22155688622754 
git/git;311;2.14790996784566;0.119760479041916;-0.325656319877438;1.34758155230596 
github/android;11;0.909090909090909;0.6;0;1.2258064516129 
github/linguist;12;1.5;0.3;-0.556756756756757;1.22033898305085 
gradle/gradle;127;6.48818897637795;0.456357532522031;-0.445554255291192;1.29671305892804 
gruntjs/grunt;3;1.33333333333333;0;-1;1.16666666666667 
haml/haml;15;1.2;0;-0.166666666666667;1.37037037037037 
Homebrew/homebrew;23;1.91304347826087;0.169014084507042;-0.366779308552118;1.3125 
iojs/io.js;458;1.33624454148472;0.140358846241199;-0.417319613789864;1.18678604507564 
ipython/ipython;40;2.6;0.240291262135922;-0.571233869798463;1.55363321799308 
Itseez/opencv;131;1.72519083969466;0.0752688172043011;-0.54879136886445;1.21004098360656 
jadejs/jade;35;0.628571428571429;0.0857142857142857;-0.775438596491228;1.19939117199391 
janl/mustache.js;23;0.608695652173913;0;-0.333333333333333;1.11510791366906 
jashkenas/backbone;7;2;0.545454545454545;0.263157894736843;1.46666666666667 
JetBrains/intellij-community;244;9.00819672131148;0.329024251512488;-0.347740070331702;1.2081362346263
jekyll/jekyll;58;1.17241379310345;0.0348837209302326;-0.57837891399128;1.22983870967742 
jnicklas/capybara;28;1.35714285714286;0;-0.789594189167851;1.5 
JohnLangford/vowpal_wabbit;62;1.96774193548387;0.154017857142857;-0.486961451247165;1.29255319148936 
joomla/joomla-cms;112;3.92857142857143;0.250148898153663;-0.396308110386887;1.60381861575179 
jquery/jquery;28;2.21428571428571;0.291666666666667;-0.408958038661009;1.34246575342466 
jquery/jquery-ui;36;1.83333333333333;0.219178082191781;-0.642647274864111;1.47889908256881 
jrburke/requirejs;6;1.33333333333333;0;-1;1.01388888888889 
justinfrench/formtastic;25;1.2;0.176470588235294;-0.6015625;1.24375 
kivy/kivy;41;1.85365853658537;0.202380952380952;-0.611556406268692;1.23918575063613 
koush/ion;3;0.666666666666667;NaN;NaN;1.00769230769231 
kriswallsmith/assetic;34;1.29411764705882;0;-0.740397836648639;1.1417004048583 
Leaflet/Leaflet;36;0.944444444444444;0.0576923076923077;-0.466776859504132;1.10619469026549 
less/less.js;36;1.27777777777778;0.127118644067797;-0.69975653812927;1.23148148148148 
libgdx/libgdx;97;1.69072164948454;0.102661596958175;-0.513745683233438;1.27232720683407 
mailpile/Mailpile;33;1.27272727272727;0.0211267605633803;-0.726652187403041;1.18162839248434 
mbostock/d3;1;0;NaN;NaN;1 
meskyanichi/backup;24;1.33333333333333;0;-0.854043392504931;1.5906976744186 
meteor/meteor;52;3.03846153846154;0.348353552859619;-0.273204643405604;1.26308345120226 
mitchellh/vagrant;126;1.28571428571429;0.0372340425531915;-0.709589668867947;1.19969040247678 
mitsuhiko/flask;13;0.923076923076923;0;-0.753846153846154;1.19047619047619 
moment/moment;112;1.26785714285714;0.00633356790992259;-0.682008542042978;1.35283687943262 
mongoid/mongoid;43;1.34883720930233;0;-0.887436206204485;1.099560761347 
mozilla/pdf.js;27;2.22222222222222;0.235714285714286;-0.448427212874909;1.55288461538462 
mrdoob/three.js;53;2.37735849056604;0.136842105263158;-0.470421192684235;1.45535714285714 
nate-parrott/Flashlight;106;0.490566037735849;0.0275229357798165;-0.714954326845486;1.04716981132075 
netty/netty;130;1.95384615384615;0.071256038647343;-0.681517519422358;1.3088295687885 
nicolasgramlich/AndEngine;3;1.33333333333333;0;-1;1.00500834724541 
odoo/odoo;249;4.09638554216868;0.227035490605428;-0.268373875080316;1.34295363831747 
omab/django-social-auth;39;1.84615384615385;0.0236686390532544;-0.833328288179204;1.49019607843137 
openframeworks/openFrameworks;51;3.25490196078431;0.149542217700916;-0.425569990982292;1.39650537634409 
paulasmuth/fnordmetric;1;0;NaN;NaN;1 
phacility/phabricator;75;2.42666666666667;0.0682556879739978;-0.637574409738479;1.22442948612707 
php/php-src;397;5.07808564231738;0.291248107884959;-0.316085960567981;1.43037836061983 
plataformatec/devise;44;0.727272727272727;0;-0.702882483370288;1.29460580912863 
powerline/powerline;6;1.33333333333333;0;-1;1.11764705882353 
prawnpdf/prawn;20;2.2;0.151260504201681;-0.839151328316257;1.25757575757576 
puphpet/puphpet;3;1.33333333333333;0;-1;1.03314917127072 
puppetlabs/puppet;144;2.76388888888889;0.266025641025641;-0.119199985659613;1.29884547069272 
pydata/pandas;79;1.89873417721519;0.125193199381762;-0.42119379349313;1.38345864661654 
rails/rails;362;1.76243093922652;0.237928621413576;-0.23411655497251;1.22330751094645 
ratchetphp/Ratchet;4;1;0;-1;1.11940298507463 
ReactiveX/RxJava;23;1.91304347826087;0.0805369127516778;-0.712329288241336;1.09939024390244 
Respect/Validation;48;1.54166666666667;0.015817223198594;-0.873944678192504;1.26744186046512 
resque/resque;23;0.521739130434783;0;-0.304347826086957;1.20588235294118 
rg3/youtube-dl;187;1.55080213903743;0.0212330042838517;-0.641161780043124;1.44368600682594 
ruby/ruby;64;4.84375;0.199838514331853;-0.484782196131581;1.13134987657529 
saltstack/salt;441;2.54421768707483;0.095432030820033;-0.491709452549384;1.48471760797342 
sampsyo/beets;41;1.36585365853659;0.0742574257425743;-0.66957434779097;1.32738095238095 
sandstorm-io/capnproto;16;1.75;0.0576923076923077;-0.645202833226014;1.07692307692308 
sass/sass;13;1.69230769230769;0.09375;-0.637717121588089;1.21538461538462 
scikit-learn/scikit-learn;100;2.22;0.22962226640159;-0.322348070898226;1.31758957654723 
sebastianbergmann/phpunit;69;1.88405797101449;0.00488334237655996;-0.899929898539891;1.284 
Seldaek/monolog;66;1.93939393939394;0;-0.970162677809624;1.65425531914894 
sferik/twitter;10;1.6;0;-0.777777777777778;1.08333333333333 
SFTtech/openage;36;2.44444444444444;0.099009900990099;-0.619031573272231;1.22287047841307 
Shopify/active_merchant;117;0.735042735042735;0.0714285714285714;-0.470866106888808;1.32703488372093 
silexphp/Silex;12;1.83333333333333;0;-0.7262313860252;1.24107142857143 
sparklemotion/nokogiri;24;1.16666666666667;0.0833333333333333;-0.547368421052632;1.2332268370607 
spotify/luigi;75;0.853333333333333;0.232258064516129;-0.471215540510642;1.32905982905983 
spring-projects/spring-framework;61;3.9672131147541;0.26625;-0.51935041780836;1.42220253912017 
sstephenson/sprockets;11;0.181818181818182;NaN;NaN;1.15079365079365c
strongloop/express;14;0.714285714285714;0;-0.842105263157895;1.37142857142857 
substack/node-browserify;37;0.972972972972973;0;-1;1.10372340425532 
thinkaurelius/titan;9;3.11111111111111;0.477272727272727;-0.509803921568627;1.15142648134601 
ThinkUpLLC/ThinkUp;33;2.12121212121212;0.069364161849711;-0.72207479396999;1.29927667269439 
thoughtbot/factory_girl;17;1.41176470588235;0.0731707317073171;-0.686798503474078;1.38345864661654 
thoughtbot/paperclip;24;1.25;0;-0.819262782401903;1.20666666666667 
thumbor/thumbor;29;1.24137931034483;0.166666666666667;-0.350877192982456;1.29891304347826 
TryGhost/Ghost;35;1.82857142857143;0.0954545454545455;-0.678863017840943;1.38918918918919 
v8/v8;201;7.02487562189055;0.341750413433405;-0.163222375640749;1.28933115001889 
webscalesql/webscalesql-5.6;288;2.29166666666667;0.218366483283961;0.00316149915581305;1.51748542880933 
WordPress/WordPress;54;4.51851851851852;0.373737373737374;-0.124852004193886;1.4468085106383 
wp-cli/wp-cli;17;2.11764705882353;0.15;-0.59221140472879;1.44262295081967 
xetorthio/jedis;29;0.551724137931034;0.2;-0.513513513513513;1.34463276836158 
yiisoft/yii2;135;1.61481481481481;0.177434030937216;-0.55649765111944;1.73120494335736 
